store_id	transaction_store_id	sku_id	sku_purchase_price	sku_retail_price
1	1	62	88.7968052457072	137.77440630484
2	1	38	615.685950625076	1016.08665857763
3	1	63	132.441921346095	199.208619201954
4	1	83	77.3608189124432	152.667755664182
5	1	13	295.874959387758	360.772497152039
6	1	95	146.791639762368	216.584703667579
7	1	85	148.565414882528	263.810401919851
8	1	110	142.671663750741	256.400087567142
9	1	17	236.911838056944	251.072908905227
10	1	86	286.896296007976	476.322061820796
11	1	24	169.639649351891	256.836444780339
12	1	25	625.968307944	923.424624399187
13	1	97	69.7714104856231	129.603758933262
14	1	1	324.58276653736	400.572016856766
15	1	8	466.952160099965	795.352104968657
16	1	69	79.5608940276135	153.995092115941
17	1	4	204.81411347157	233.538832945612
18	1	46	19.3557301314342	26.7851289410856
19	1	16	19.1683927337492	35.5993641144152
20	1	9	25.545534810771	43.8259844022392
21	1	101	629.260760453651	921.422947194057
22	1	51	277.739058805042	438.124574786874
23	1	104	229.60273301676	239.890828061264
24	1	106	60.5909953436772	66.5515034306619
25	1	277	217.396035622524	355.872365274429
26	1	76	71.4569993128334	85.8170614927487
27	1	93	66.6140853346391	103.699554518214
28	1	99	10.9995476114562	15.5346738524709
29	1	15	542.651063728449	621.559993593111
30	1	32	261.939269563155	496.863908132221
31	1	266	14.686511610023	17.7420304835506
32	1	59	261.808512523216	501.127979371201
33	1	78	383.700880582305	663.402621084811
34	1	211	116.272540172689	146.890985115997
35	1	77	395.591226350791	403.798642588293
36	1	5	105.234352038351	171.795825060168
37	1	91	233.555124422328	456.123600860193
38	1	112	544.488271115109	891.686144496987
39	1	102	300.936923302215	521.354136441519
40	1	119	90.8284157280943	114.584121688612
41	1	176	134.507950558564	226.423068704132
42	1	644	66.6559275629259	66.9620262045898
43	1	103	166.086452746804	292.186184252742
44	1	26	11.0192427043893	17.36128239229
45	1	88	205.470543758697	402.956931073233
46	1	29	62.5880664235857	76.4598834476392
47	1	744	109.244819690587	149.545591228046
48	1	42	139.319518566746	260.275937493214
49	1	90	438.072828053996	749.942721147916
50	1	242	751.143033767651	1434.28531414239
